Name,Price,Provider,Review,Rating,Link,Wifi,Breakfast,Parking,Restaurant,StreetAddress,ExtendedAddress,Locality,Latitude,Longitude
Ambassador Garden Home, 4131,Booking.com,715,4.5,https://www.tripadvisor.com/Hotel_-g293890-d1423502--Ambassador_Garden_Home-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,true,false,false,Thamel, ,"Kathmandu 9681, ",27.7153902,85.3123293
Shree Tibet Family Guest House, 802,Booking.com,451,4.5,https://www.tripadvisor.com/Hotel_-g293890-d1224300--Shree_Tibet_Family_Guest_House-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,false,false,false,133 Thamel Bhagwati Marg,P.O.Box: 9299,"Kathmandu 44600, ",27.6919405,85.2945882
Royal Penguin Boutique Hotel & Spa, 5292,Booking.com,240,4.5,https://www.tripadvisor.com/Hotel_-g293890-d6468896--Royal_Penguin_Boutique_Hotel_Spa-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Regio.html,true,true,false,false,Thamel, ,"Kathmandu 44600, ",27.7153902,85.3123293
Hotel Moonlight, 5112,Expedia,304,4.5,https://www.tripadvisor.com/Hotel_-g293890-d654253--Hotel_Moonlight-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,false,true,false,"Paknajol, Thamel", ,"Kathmandu 6667, ",27.716776,85.308618
Hotel Florid Nepal, 1780,Booking.com,194,4.5,https://www.tripadvisor.com/Hotel_-g293890-d632769--Hotel_Florid_Nepal-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,false,false,true,"Z-Street, Thamel", ,"Kathmandu 44600, ",27.7167975,85.3095476
Hotel Pilgrims Pvt. Ltd., 2631,Booking.com,209,4.5,https://www.tripadvisor.com/Hotel_-g293890-d5113587--Hotel_Pilgrims_Pvt_Ltd-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,false,false,true,Z Street,Thamel,"Kathmandu 44600, ",27.7167975,85.3095476
Hotel Yala Peak, 871,Expedia,177,4.5,https://www.tripadvisor.com/Hotel_-g293890-d4799362--Hotel_Yala_Peak-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,false,false,true,"Thamel-12, Kawabahal", ,"Kathmandu 44600, ",27.7153902,85.3123293
The Sparkling Turtle Backpackers Hostel, 1237,Booking.com,234,4.5,https://www.tripadvisor.com/Hotel_-g293890-d2258723--The_Sparkling_Turtle_Backpackers_Hostel-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Centra.html,true,true,false,false,15 Swoyambhu,Buddha Park,"Kathmandu 44600, ",27.7147791,85.2903796
Kathmandu City Hotel, 2381,Expedia,243,4.5,https://www.tripadvisor.com/Hotel_-g293890-d5894519--Kathmandu_City_Hotel-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,true,false,false,Ward No 29 Bhagwatimarga,Thamel,"Kathmandu 44600, ",27.7184512,85.3150889
Hotel Happy Home, 1724,Booking.com,536,4.5,https://www.tripadvisor.com/Hotel_-g293890-d3914005--Hotel_Happy_Home-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,true,false,false,"17, JP Road Thamel", ,"Kathmandu 10356, ",27.7119715,85.3097835
Famous House Kathmandu Youth Hostel, 1995,Booking.com,225,5,https://www.tripadvisor.com/Hotel_-g293890-d7640322--Famous_House_Kathmandu_Youth_Hostel-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Re.html,true,false,true,false,"Golkopakha, Thamel", ,"Kathmandu 44600, ",27.7184153,85.3123722
Tibet Peace Inn, 1552,Booking.com,378,5,https://www.tripadvisor.com/Hotel_-g293890-d7360353--Tibet_Peace_Inn-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,true,false,false, ,"Paknajol, Thamel","Kathmandu 44600, ",27.7180528,85.3083658
