	Name	Price	Provider	Review	Rating	Link	Wifi	Breakfast	Parking	Restaurant
105	Fuji Hotel	NPR 4,104	Booking.com	240 reviews	4 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d598179-Reviews-Fuji_Hotel-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	false	true
106	Hotel Blue Horizon	NPR 1,764	Booking.com	459 reviews	4 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d648412-Reviews-Hotel_Blue_Horizon-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	true	false
107	Hotel Temple Inn	NPR 4,545	Booking.com	60 reviews	4.5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d10392738-Reviews-Hotel_Temple_Inn-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	true	false
108	Samsara Resort	NPR 3,558	Expedia	300 reviews	4 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d633635-Reviews-Samsara_Resort-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	true	false
109	World Heritage Hotel & Apartments - Dwarika Chhen	NPR 1,336	Expedia	63 reviews	4.5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d4860362-Reviews-World_Heritage_Hotel_Apartments_Dwarika_Chhen-Kathmandu_Kathmandu_Valley_Bagmati_Zone_.html	true	false	false	true
110	Sankata Hotel and Apartment	NPR 1,396	Expedia	86 reviews	5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d7086111-Reviews-Sankata_Hotel_and_Apartment-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	true	false
111	Karma Boutique Hotel	NPR 3,363	Booking.com	30 reviews	5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d12548952-Reviews-Karma_Boutique_Hotel-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	true	false	false
112	Baber Mahal Vilas The Boutique Hotel	NPR 10,798	Expedia	44 reviews	5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d11648304-Reviews-Baber_Mahal_Vilas_The_Boutique_Hotel-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_.html	true	false	true	false
113	Ghangri Boutique Hotel	NPR 4,899	Agoda.com	81 reviews	5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d7368975-Reviews-Ghangri_Boutique_Hotel-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	true	false
114	The Boudha Inn	NPR 1,981	Booking.com	64 reviews	4.5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d10357187-Reviews-The_Boudha_Inn-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	true	false
115	Hotel Gallery Nepal	NPR 1,444	Booking.com	65 reviews	4.5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d11663322-Reviews-Hotel_Gallery_Nepal-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	true	false	false
