	Name	Price	Provider	Review	Rating	Wifi	Breakfast	Parking	Restaurant
197	Hyatt Regency Kathmandu	NPR 13,636	Booking.com	1,780 reviews	4.5 of 5 bubbles	false	false	true	false
198	Dream Nepal Hotel and Apartment	NPR 2,633	Expedia	615 reviews	4.5 of 5 bubbles	true	true	false	false
199	OYO 11477 Backyard Hotel	NPR 1,842	Booking.com	638 reviews	4.5 of 5 bubbles	true	true	false	false
200	Thamel Eco Resort	NPR 3,072	Booking.com	394 reviews	4 of 5 bubbles	true	true	false	false
201	Gaju Suite Hotel	NPR 3,212	Booking.com	490 reviews	4.5 of 5 bubbles	true	false	true	false
202	Kathmandu Eco Hotel	NPR 2,369	Booking.com	780 reviews	5 of 5 bubbles	true	true	false	false
203	Trekkers' Home	NPR 711	Booking.com	761 reviews	4.5 of 5 bubbles	true	false	false	true
204	Hotel Amaryllis	NPR 2,164	Booking.com	394 reviews	5 of 5 bubbles	true	false	true	false
205	Norbulinka Boutique Hotel	NPR 2,800	Booking.com	264 reviews	4.5 of 5 bubbles	true	false	true	false
206	Avataar Kathmandu Hotel	NPR 3,072	Booking.com	284 reviews	4.5 of 5 bubbles	true	true	false	false
207	Hotel Access Nepal	NPR 3,915	Booking.com	366 reviews	4.5 of 5 bubbles	true	true	false	false
208	Pilgrims Guest House	NPR 1,663	Booking.com	443 reviews	4.5 of 5 bubbles	true	false	true	false
209	Hotel Mums Home Pvt Ltd	NPR 3,160	Expedia	827 reviews	5 of 5 bubbles	true	false	true	false
210	Hotel Buddha Land	NPR 1,975	Booking.com	279 reviews	4.5 of 5 bubbles	true	false	false	false
211	Hotel Nepalaya	NPR 1,561	Booking.com	661 reviews	4.5 of 5 bubbles	true	false	true	false
212	Hotel Family Home	NPR 1,027	Booking.com	617 reviews	4.5 of 5 bubbles	true	false	false	false
213	Hotel Thamel	NPR 2,944	Booking.com	401 reviews	4 of 5 bubbles	true	true	false	false
214	Hotel Buddha	NPR 2,741	Booking.com	402 reviews	4.5 of 5 bubbles	true	false	true	false
215	Hotel Osho Home	NPR 2,159	Booking.com	455 reviews	5 of 5 bubbles	true	true	false	false
216	Khangsar Guest House	NPR 923	Booking.com	538 reviews	4.5 of 5 bubbles	true	false	false	true
217	Kantipur Temple House	NPR 5,988	Expedia	888 reviews	4.5 of 5 bubbles	true	false	false	true
218	Hotel Shanker	NPR 5,988	Expedia	1,307 reviews	4 of 5 bubbles	true	false	true	false
219	Trekkers' Home	NPR 711	Booking.com	761 reviews	4.5 of 5 bubbles	true	false	false	true
220	Hotel Friends Home	NPR 2,370	Expedia	1,402 reviews	5 of 5 bubbles	true	true	false	false
221	Oasis Kathmandu Hotel	NPR 3,687	Booking.com	511 reviews	5 of 5 bubbles	true	false	true	false
222	Kantipur Temple House	NPR 5,988	Expedia	888 reviews	4.5 of 5 bubbles	true	false	false	true
223	Hotel Silver Home	NPR 1,055	Expedia	731 reviews	4.5 of 5 bubbles	true	true	false	false
224	Aryatara Kathmandu Hotel	NPR 3,393	Booking.com	638 reviews	5 of 5 bubbles	true	false	true	false
225	Kathmandu Guest House	NPR 4,976	Expedia	1,388 reviews	4 of 5 bubbles	true	true	false	false
226	Hyatt Regency Kathmandu	NPR 13,636	Booking.com	1,780 reviews	4.5 of 5 bubbles	false	false	true	false
227	Kumari Boutique Hotel	NPR 4,562	Booking.com	104 reviews	5 of 5 bubbles	true	false	true	false
228	Hotel Family Home	NPR 1,027	Booking.com	617 reviews	4.5 of 5 bubbles	true	false	false	false
229	DOM Himalaya Hotel	NPR 3,857	Booking.com	180 reviews	5 of 5 bubbles	true	false	true	false
230	Shambaling Boutique Hotel	NPR 4,037	Expedia	523 reviews	5 of 5 bubbles	true	false	true	false
231	Kathmandu Eco Hotel	NPR 2,369	Booking.com	780 reviews	5 of 5 bubbles	true	true	false	false
232	Kathmandu Grand Hotel	NPR 3,264	Booking.com	889 reviews	4.5 of 5 bubbles	true	true	false	false
233	Shree Tibet Family Guest House	NPR 790	Booking.com	451 reviews	4.5 of 5 bubbles	true	false	false	false
234	Kathmandu Boutique Hotel	NPR 1,313	Expedia	392 reviews	5 of 5 bubbles	true	true	false	false
235	Hotel Ganesh Himal	NPR 2,997	Booking.com	684 reviews	4.5 of 5 bubbles	true	false	false	true
236	Hotel Mums Home Pvt Ltd	NPR 3,160	Expedia	827 reviews	5 of 5 bubbles	true	false	true	false
237	Hotel Osho Home	NPR 2,168	Expedia	455 reviews	5 of 5 bubbles	true	true	false	false
238	Hotel Shambala	NPR 8,418	Expedia	494 reviews	4.5 of 5 bubbles	true	false	true	false
239	Dwarika's Hotel	NPR 26,180	Booking.com	1,195 reviews	4.5 of 5 bubbles	false	false	false	true
240	The Sparkling Turtle Backpackers Hostel	NPR 1,231	Booking.com	234 reviews	4.5 of 5 bubbles	true	true	false	false
241	Thamel Eco Resort	NPR 3,055	Expedia	394 reviews	4 of 5 bubbles	true	true	false	false
242	Hotel Mulberry	NPR 11,584	Expedia	104 reviews	5 of 5 bubbles	true	false	true	false
243	Royal Penguin Boutique Hotel & Spa	NPR 5,266	Expedia	240 reviews	4.5 of 5 bubbles	true	true	false	false
244	Kathmandu Suite Home	NPR 3,765	Agoda.com	85 reviews	5 of 5 bubbles	true	true	false	false
245	Kasthamandap Boutique Hotel	NPR 4,344	Agoda.com	193 reviews	5 of 5 bubbles	true	true	false	false
246	Hotel Amaryllis	NPR 2,164	Booking.com	394 reviews	5 of 5 bubbles	true	false	true	false
247	Hotel Happy Home	NPR 1,716	Booking.com	536 reviews	4.5 of 5 bubbles	true	true	false	false
